mineral_name,mineral_frequency,sample_label,rock_name,classification,latitude,longitude,doi/ref,igsn,analytical_method,data_source,SiO2,TiO2,Al2O3,FeO,MnO,MgO,Cr2O3,Fe2O3,CaO,Na2O,K2O,P2O5,NiO,BaO,CO2,(SO3)2-,SO2,PbO,SrO,ZrO2,Nb2O5,B2O3,WO3,As2O5,ZnO,MoO3,CuO,CdO,Mn2O3,Cu2O,SnO,BeO,SnO2,H2O,F,Cl,Si,Ti,Al,Fe,S,Cu,Pb,Zn,Co,Ni,As,Ag,Sb,Hg,Bi,Te,Mo,Mn,Mg,Ca,Na,K,Cr,Sr,Ba,Y2O3,Sc2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Gd2O3,Dy2O3,ThO2,UO2,Tb2O3,ThO2.1,Tb2O3.1,ThO2 ,Tb2O3 
actinolite,Common,samp. DDM5-4-2,"Iron ore, magnetite",Not given,-15.19,-75.13,[26978] CHEN HUAYONG (2010),Not given,Not given,GEOROC,56.0,0.02,,14.69,0.11,14.42,,,13.0,0.1,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. KY-11,Spessartite,Not given,34.7,135.3,[18108] IMAOKA T. (2014),Not given,Not given,GEOROC,56.0,0.05,2.0,11.0,0.44,16.15,0.16,,13.0,0.18,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. 10274,Metagabbro,Not given,69.3962,30.6087,[13018] KREMENETSKIY A. A. (1986),Not given,Not given,GEOROC,54.0,0.17,2.0,15.6,0.25,14.8,,,13.0,0.27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD022,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,54.0,0.15209,2.0,13.95489,0.21246,15.38668,,,13.0,0.27313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,303 LOMROG_09-PC01_42-44 cm 91,Not given,Not given,88.54,133.48,https://doi.org/10.1594/PANGAEA.870973,Not Given,EPMA,Pangaea,55.414,0.053,2.634,9.955,0.168,17.485,0.145,,13.142,0.233,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,359 LOMROG09-PC05 117.8-120.8 cm 59,Nan,Not given,88.7,58.51,https://doi.org/10.1594/PANGAEA.870973,Not Given,EPMA,Pangaea,54.019,0.556,2.607,12.244,,16.658,0.008,,11.775,0.588,0.197,,,,,,,,,,,,,,,,,,,,,,,,,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,403 LOMROG 09-PC01 286.5-289.5 cm 1,Not given,Not given,88.54,133.48,https://doi.org/10.1594/PANGAEA.870973,Not Given,EPMA,Pangaea,55.884,0.098,2.291,7.586,0.035,19.215,0.024,,13.437,0.186,0.158,,,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD018,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,54.0,0.15349,3.0,13.03631,0.23028,15.86472,,,12.0,0.30219,0.07786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,1187/6,Green schists,Metsmorphic,57.592,162.183,https://doi.org/10.1134/S0016702907090030,Not Given,EPMA,Pangaea,53.03,0.07,3.61,16.59,0.29,13.45,,,10.52,1.48,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD022,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,54.0,0.1128,2.0,14.34908,0.27236,15.29294,,,13.0,0.2053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD006,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,0.16597,2.0,12.51018,0.36629,18.98413,,,9.0,0.47199,0.10611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. ABR-02,Tonalite,Not given,-21.92,-68.83,[26654] AGEMAR T. (1999),Not given,Not given,GEOROC,54.0,0.51,3.0,10.35,0.6,17.75,0.02,1.17,12.0,0.66,0.22,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
